Item Name,Item URL,Item URI,Attribute 1,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,Schema URI 4,Attribute 5,Value 5,Schema URI 5
WAVE KEYS FOR BUSINESS,https://www.logitech.com/en-us/products/keyboards/wave-keys-business-ergonomic-wireless.html,ex:prod024,price,6999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-012058,schema:sku,model,WAVE KEYS FOR BUSINESS - WAVE KEYS FOR BUSINESS - Graphite - English,schema:model
MX Mechanical Mini,https://www.logitech.com/en-us/products/keyboards/mx-mechanical-mini.html,ex:prod025,price,15999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-010550,schema:sku,model,MX Mechanical Mini - Graphite - English,schema:model
MX Keyboard Sleeve,https://www.logitech.com/en-us/products/keyboards/mx-keyboard-sleeve.html,ex:prod026,price,2999.00,schema:price,currency,USD,schema:priceCurrency,color,Grey Black,schema:color,sku,956-000126,schema:sku,model,MX Keyboard Sleeve - Grey Black,schema:model
Signature Slim Keyboard K950,https://www.logitech.com/en-us/products/keyboards/signature-slim-k950-keyboard.html,ex:prod027,price,7999.00,schema:price,currency,USD,schema:priceCurrency,color,Off-white,schema:color,sku,920-012429,schema:sku,model,Signature Slim Keyboard K950 - Off-white - English,schema:model
Wave Keys for Mac,https://www.logitech.com/en-us/products/keyboards/wave-keys-mac.html,ex:prod028,price,6099.00,schema:price,currency,USD,schema:priceCurrency,color,Off-white,schema:color,sku,920-012402,schema:sku,model,Wave Keys for Mac - Off-white - English,schema:model
MX Keys S for Mac,https://www.logitech.com/en-us/products/keyboards/mx-keys-s-for-mac.html,ex:prod029,price,11999.00,schema:price,currency,USD,schema:priceCurrency,color,Space Gray,schema:color,sku,920-011621,schema:sku,model,MX Keys S for Mac - Space Gray - English,schema:model
MX Creative Console,https://www.logitech.com/en-us/products/keyboards/buy-mx-creative-console.html,ex:prod030,price,16999.00,schema:price,currency,USD,schema:priceCurrency,color,Pale Grey,schema:color,sku,920-012661,schema:sku,model,MX Creative Console - Pale Grey,schema:model
POP Icon Keys,https://www.logitech.com/en-us/products/keyboards/pop-icon-keys.html,ex:prod031,price,4999.00,schema:price,currency,USD,schema:priceCurrency,color,Lilac & Off White,schema:color,sku,920-013050,schema:sku,model,POP Icon Keys - Lilac & Off White - English,schema:model
Signature Slim Wired K620 for Business,https://www.logitech.com/en-us/products/keyboards/k620-business.html,ex:prod032,price,4999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-013302,schema:sku,model,Signature Slim Wired K620 for Business - Signature Slim Wired K620 for Business - Graphite - English,schema:model
Signature Slim Combo MK955,https://www.logitech.com/en-us/products/combos/signature-slim-mk955.html,ex:prod033,price,11999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-012425,schema:sku,model,Signature Slim Combo MK955 - Graphite - English,schema:model
MX KEYS COMBO FOR BUSINESS | Gen 2,https://www.logitech.com/en-us/products/combos/mx-keys-combo-business-gen-2.html,ex:prod034,price,19999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-010923,schema:sku,model,MX KEYS COMBO FOR BUSINESS | Gen 2 - MX KEYS COMBO FOR BUSINESS | Gen 2 - Graphite - English,schema:model
MX Keys S Combo,https://www.logitech.com/en-us/products/combos/mx-keys-s-keyboard-mouse-combo.html,ex:prod035,price,19999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-011889,schema:sku,model,MX Keys S Combo - MX Keys S Combo - Graphite - English,schema:model
MX Keys S Combo,https://www.logitech.com/en-us/products/combos/mx-keys-s-combo.html,ex:prod036,price,19999.00,schema:price,currency,USD,schema:priceCurrency,color,Black,schema:color,sku,920-012274,schema:sku,model,MX Keys S Combo - Black - English,schema:model
MK370 Combo for Business,https://www.logitech.com/en-us/products/combos/mk370-keyboard-mouse.html,ex:prod037,price,3999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-011887,schema:sku,model,MK370 Combo for Business - MK370 Combo for Business - Graphite - English,schema:model
Casa Pop-Up Desk,https://www.logitech.com/en-us/products/combos/casa-pop-up-desk.html,ex:prod038,price,17999.00,schema:price,currency,USD,schema:priceCurrency,color,Classic Chic,schema:color,sku,920-011236,schema:sku,model,Casa Pop-Up Desk - Classic Chic - English,schema:model
Pebble 2 Combo,https://www.logitech.com/en-us/products/combos/pebble-2-keyboard-mouse-combo.html,ex:prod039,price,5999.00,schema:price,currency,USD,schema:priceCurrency,color,Tonal Rose,schema:color,sku,920-012199,schema:sku,model,Pebble 2 Combo - Tonal Rose - English,schema:model
Pebble 2 Combo for Mac,https://www.logitech.com/en-us/products/combos/pebble-2-combo-for-mac.html,ex:prod040,price,5999.00,schema:price,currency,USD,schema:priceCurrency,color,Tonal White,schema:color,sku,920-012201,schema:sku,model,Pebble 2 Combo for Mac - Tonal White - English,schema:model
Wave Keys MK670 Combo,https://www.logitech.com/en-us/products/combos/mk670-wave-keys-mouse.html,ex:prod041,price,8999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-012059,schema:sku,model,Wave Keys MK670 Combo - Graphite - English,schema:model
MX Mechanical Combo,https://www.logitech.com/en-us/products/combos/mx-mechanical-master-3s.html,ex:prod042,price,24498.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,mx3-mcombo,schema:sku,model,MX Mechanical Combo - Graphite,schema:model
Productivity Value Solution,https://www.logitech.com/en-us/products/combos/productivity-value-solution.html,ex:prod043,price,6999.00,schema:price,currency,USD,schema:priceCurrency,color,Black,schema:color,sku,pws-amrvalue,schema:sku,model,Productivity Value Solution - Black,schema:model
Productivity Style Bundle,https://www.logitech.com/en-us/products/combos/productivity-style-bundle.html,ex:prod044,price,99.00,schema:price,currency,USD,schema:priceCurrency,color,Black,schema:color,sku,pws-amrstyle,schema:sku,model,Productivity Style Bundle - Black,schema:model
Productivity Bundle,https://www.logitech.com/en-us/products/combos/productivity-bundle.html,ex:prod045,price,15999.00,schema:price,currency,USD,schema:priceCurrency,color,Black,schema:color,sku,pws-amreff,schema:sku,model,Productivity Bundle - Black,schema:model
Ultimate Productivity Bundle,https://www.logitech.com/en-us/products/combos/ultimate-productivity-bundle.html,ex:prod046,price,34999.00,schema:price,currency,USD,schema:priceCurrency,color,Black,schema:color,sku,pws-amrulti,schema:sku,model,Ultimate Productivity Bundle - Black,schema:model
Signature Slim Combo MK955 for Business,https://www.logitech.com/en-us/products/combos/signature-slim-mk955-business.html,ex:prod047,price,11999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-012427,schema:sku,model,Signature Slim Combo MK955 for Business - Signature Slim Combo MK955 for Business - Graphite - English,schema:model
